team,form,goal_diff,avg_scored,avg_conceded,elo
Sweden,0.4666666666666667,-0.2,1.6,1.8,1676.2827192104633
Austria,0.8333333333333334,2.3,2.8,0.5,1725.797292683206
Netherlands,0.8,2.4,3.0,0.6,1831.398433762084
New Zealand,0.2333333333333333,-0.6,0.9,1.5,1603.4939645093016
Panama,0.5666666666666667,0.5,1.3,0.8,1678.177339848711
Canada,0.5666666666666667,0.7,1.1,0.4,1733.2570010695854
South Africa,0.5,0.4,1.4,1.0,1621.9151054592458
Portugal,0.7,1.6,2.6,1.0,1846.2928275608665
England,0.7333333333333333,1.7,2.2,0.5,1846.990526867156
Senegal,0.8333333333333334,1.9,2.5,0.6,1780.803675624259
Argentina,0.8333333333333334,2.1,2.5,0.4,1942.67956599356
Switzerland,0.7,1.7,2.5,0.8,1753.7455285910064
Haiti,0.4333333333333333,0.1,1.2,1.1,1583.2545146112063
Iraq,0.6666666666666666,0.4,1.1,0.7,1685.0246074697145
Uruguay,0.5333333333333333,0.1,1.0,0.9,1779.887300429137
Brazil,0.5666666666666667,1.0,1.8,0.8,1872.493172506529
South Korea,0.6333333333333333,0.6,1.8,1.2,1777.2837850774604
United States,0.5333333333333333,0.1,1.7,1.6,1756.680703185564
Colombia,0.6,1.1,2.1,1.0,1834.6416337939916
Mexico,0.6333333333333333,0.8,1.2,0.4,1789.42086948028
France,0.8333333333333334,1.6,2.7,1.1,1905.617230520832
Bosnia and Herzegovina,0.4666666666666667,0.9,2.0,1.1,1550.8566790320397
Czech Republic,0.5333333333333333,0.6,1.8,1.2,1669.2186934289632
Ivory Coast,0.7333333333333333,1.3,2.0,0.7,1709.6485205978977
Turkey,0.7333333333333333,0.7,2.1,1.4,1735.7416850994298
Paraguay,0.4666666666666667,0.0,1.0,1.0,1687.208770979073
Curaçao,0.4,0.0,1.6,1.6,1504.3136206832
Qatar,0.2333333333333333,-0.8,0.9,1.7,1593.7014474714656
Jordan,0.5666666666666667,0.5,2.0,1.5,1650.70772475352
Morocco,0.8,1.7,2.0,0.3,1843.0831845541577
Cape Verde,0.5666666666666667,0.7,1.7,1.0,1605.938664875391
Ecuador,0.5333333333333333,0.4,0.9,0.5,1786.6302686186282
Iran,0.5,0.9,1.7,0.8,1790.971194939414
Saudi Arabia,0.4,-0.5,1.0,1.5,1626.2758756396436
Norway,0.7666666666666667,2.5,3.1,0.6,1708.4752732284728
Germany,0.7,1.2,2.3,1.1,1834.2264249290563
Tunisia,0.4666666666666667,0.4,1.4,1.0,1682.2115907638015
Croatia,0.8333333333333334,2.1,2.9,0.8,1797.0256008879862
Australia,0.6,0.4,1.4,1.0,1751.6408511875325
Algeria,0.7666666666666667,1.8,2.3,0.5,1767.5176887814898
Ghana,0.4333333333333333,0.1,1.4,1.3,1562.8156835315913
Uzbekistan,0.5666666666666667,0.8,1.5,0.7,1728.467356729485
Belgium,0.7333333333333333,2.5,3.5,1.0,1788.254369177261
Spain,0.8,2.3,3.1,0.8,1938.0684274656016
DR Congo,0.7666666666666667,0.9,1.2,0.3,1636.1263880845668
Japan,0.6666666666666666,1.1,1.8,0.7,1842.184938222792
Scotland,0.6333333333333333,1.1,2.1,1.0,1648.6301902887674
Egypt,0.7,0.9,1.4,0.5,1728.158693418685
